2022-02-16 10:50:15.099153
JIO,Name,MRP,Price,Pincode
491187481,Bournvita 750 g,  310.00,  240.00,410210
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  125.00,410210
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),None,None,410210
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  16.00,410210
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,  25.00,  21.00,410210
490008739,Parle-G Original Glucose Biscuits 800 g,  80.00,  72.00,410210
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,410210
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,410210
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,  240.00,  189.00,410210
490000041,Aashirvaad Whole Wheat Atta 10 kg,  460.00,  393.00,410210
490000073,Tata Iodised Salt 1 kg,  24.00,  21.00,410210
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,410210
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,  200.00,  185.00,410210
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,410210
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,  199.00,  177.00,410210
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,410210
490967439,Red Label Natural Care Tea 500 g (Carton),  325.00,  255.00,410210
490503478,Nescafe Classic Instant Coffee 100 g (Jar),None,None,410210
490675817,Aashirvaad Multigrain Atta 5 kg,  315.00,  262.00,388110
491019524,Daawat Rozana Super Basmati Rice 5 kg,  390.00,  325.00,388110
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,388110
491409954,Kellogg's Nuts Delight Muesli 750 g,  415.00,  375.00,388110
491321729,Raw Pressery Orange Juice 1 l,None,None,388110
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),  579.00,  499.00,388110
491187481,Bournvita 750 g,  310.00,  264.00,388110
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,388110
